Rank,Gender,Caste,College_Branch
151277,M,SC,A1 GLOBAL INST OF ENGG TECHNOLOGY - ECE
8236,F,BC_B,ABR COLLEGE OF ENGG AND TECHNOLOGY - AGR
74137,F,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - AGR
81535.1,F,BC_D,ABR COLLEGE OF ENGG AND TECHNOLOGY - AGR
86590,M,SC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CIV
88998,M,BC_D,ABR COLLEGE OF ENGG AND TECHNOLOGY - CIV
90825,M,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CIV
93182,M,BC_B,ABR COLLEGE OF ENGG AND TECHNOLOGY - CIV
97212.1,M,SC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSD
98970,M,BC_D,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSD
99567.1,M,BC_B,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSD
99803,M,ST,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSD
101086,M,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSD
104808,F,SC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CAI
108126,M,BC_E,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSE
114980,M,BC_D,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSE
117592,M,ST,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSE
120681,M,BC_A,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSE
125046,M,SC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSE
125488,M,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CSE
129215,M,BC_D,ABR COLLEGE OF ENGG AND TECHNOLOGY - ECE
131066,M,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - ECE
131301,F,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - CAI
133103,M,BC_E,ABR COLLEGE OF ENGG AND TECHNOLOGY - ECE
133384,M,BC_A,ABR COLLEGE OF ENGG AND TECHNOLOGY - ECE
134112,M,SC,ABR COLLEGE OF ENGG AND TECHNOLOGY - ECE
134367,M,BC_B,ABR COLLEGE OF ENGG AND TECHNOLOGY - EEE
134623,M,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - EEE
137239,M,BC_A,ABR COLLEGE OF ENGG AND TECHNOLOGY - EEE
137522,M,BC_E,ABR COLLEGE OF ENGG AND TECHNOLOGY - EEE
138158,M,BC_D,ABR COLLEGE OF ENGG AND TECHNOLOGY - EEE
138865,M,SC,ABR COLLEGE OF ENGG AND TECHNOLOGY - MEC
141729,M,BC_E,ABR COLLEGE OF ENGG AND TECHNOLOGY - MEC
142553,M,BC_B,ABR COLLEGE OF ENGG AND TECHNOLOGY - MEC
144081,F,BC_A,ABR COLLEGE OF ENGG AND TECHNOLOGY - CAI
144834,F,BC_B,ABR COLLEGE OF ENGG AND TECHNOLOGY - CAI
145277,M,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - MEC
148665,M,BC_A,ABR COLLEGE OF ENGG AND TECHNOLOGY - MIN
149080,M,BC_D,ABR COLLEGE OF ENGG AND TECHNOLOGY - MIN
149245,M,OC,ABR COLLEGE OF ENGG AND TECHNOLOGY - MIN
151483,M,SC,ABR COLLEGE OF ENGG AND TECHNOLOGY - MIN
77864.1,M,BC_C,ACHARYA COLLEGE OF ENGINEERING - CSE
128292,M,BC_D,ACHARYA COLLEGE OF ENGINEERING - CSE
132258,M,SC,ACHARYA COLLEGE OF ENGINEERING - ECE
141136,F,BC_A,ACHARYA COLLEGE OF ENGINEERING - CSE
142865,M,BC_A,ACHARYA COLLEGE OF ENGINEERING - ECE
76611,F,OC,ADARSH COLLEGE OF ENGINEERING - CIV
82746,F,BC_A,ADARSH COLLEGE OF ENGINEERING - CIV
87089,F,BC_D,ADARSH COLLEGE OF ENGINEERING - CIV
104797,M,BC_A,ADARSH COLLEGE OF ENGINEERING - CSE
118851,M,BC_B,ADARSH COLLEGE OF ENGINEERING - CSE
131470,M,SC,ADARSH COLLEGE OF ENGINEERING - CSE
133787,M,OC,ADARSH COLLEGE OF ENGINEERING - ECE
137742,M,BC_B,ADARSH COLLEGE OF ENGINEERING - ECE
138694,M,SC,ADARSH COLLEGE OF ENGINEERING - ECE
140611,M,BC_D,ADARSH COLLEGE OF ENGINEERING - ECE
141421,M,BC_A,ADARSH COLLEGE OF ENGINEERING - ECE
142677,M,ST,ADARSH COLLEGE OF ENGINEERING - ECE
143369,M,BC_B,ADARSH COLLEGE OF ENGINEERING - EEE
143907,F,OC,ADARSH COLLEGE OF ENGINEERING - CSE
144006,F,BC_D,ADARSH COLLEGE OF ENGINEERING - CSE
144145,M,OC,ADARSH COLLEGE OF ENGINEERING - EEE
144333,M,ST,ADARSH COLLEGE OF ENGINEERING - MEC
145979,M,OC,ADARSH COLLEGE OF ENGINEERING - MEC
148315,M,BC_A,ADARSH COLLEGE OF ENGINEERING - MEC
149993,F,ST,ADARSH COLLEGE OF ENGINEERING - CSE
151012,M,BC_D,ADARSH COLLEGE OF ENGINEERING - MEC
22098,F,BC_C,ADITYA COLLEGE OF ENGINEERING - AID
25332,F,BC_E,ADITYA COLLEGE OF ENGINEERING - AID
35480,F,BC_D,ADITYA COLLEGE OF ENGINEERING - AID
35562,F,BC_B,ADITYA COLLEGE OF ENGINEERING - AID
36606,F,OC,ADITYA COLLEGE OF ENGINEERING - AID
45281,F,BC_B,ADITYA COLLEGE OF ENGINEERING - CAI
47108,F,OC,ADITYA COLLEGE OF ENGINEERING - CAI
47131,F,BC_D,ADITYA COLLEGE OF ENGINEERING - CAI
48878,F,BC_D,ADITYA COLLEGE OF ENGINEERING - CIV
49016,F,BC_B,ADITYA COLLEGE OF ENGINEERING - CIV
49253,F,OC,ADITYA COLLEGE OF ENGINEERING - CIV
54285,M,BC_B,ADITYA COLLEGE OF ENGINEERING - CSO
55209,F,BC_D,ADITYA COLLEGE OF ENGINEERING - CSD
55258,M,OC,ADITYA COLLEGE OF ENGINEERING - CSO
55367,F,OC,ADITYA COLLEGE OF ENGINEERING - CSD
55486,F,BC_B,ADITYA COLLEGE OF ENGINEERING - CSD
55509,M,BC_D,ADITYA COLLEGE OF ENGINEERING - CSO
85940,M,BC_C,ADITYA COLLEGE OF ENGINEERING - ECE
100375,F,BC_C,ADITYA COLLEGE OF ENGINEERING - CSE
115117,M,BC_E,ADITYA COLLEGE OF ENGINEERING - ECE
118112,M,ST,ADITYA COLLEGE OF ENGINEERING - ECE
118546,M,BC_B,ADITYA COLLEGE OF ENGINEERING - ECE
119038,M,OC,ADITYA COLLEGE OF ENGINEERING - ECE
119073,M,SC,ADITYA COLLEGE OF ENGINEERING - ECE
119378,M,BC_A,ADITYA COLLEGE OF ENGINEERING - ECE
119764,M,BC_D,ADITYA COLLEGE OF ENGINEERING - ECE
123390,F,BC_E,ADITYA COLLEGE OF ENGINEERING - CSE
124219,F,BC_D,ADITYA COLLEGE OF ENGINEERING - CSE
126156,F,SC,ADITYA COLLEGE OF ENGINEERING - CSE
126596,F,ST,ADITYA COLLEGE OF ENGINEERING - CSE
126944,F,OC,ADITYA COLLEGE OF ENGINEERING - CSE
127293,F,BC_A,ADITYA COLLEGE OF ENGINEERING - CSE
127342,M,BC_E,ADITYA COLLEGE OF ENGINEERING - EEE
127560,M,OC,ADITYA COLLEGE OF ENGINEERING - EEE
128078,F,BC_B,ADITYA COLLEGE OF ENGINEERING - CSE
128082,F,BC_A,ADITYA COLLEGE OF ENGINEERING - CSM
128457,M,BC_A,ADITYA COLLEGE OF ENGINEERING - EEE
129126,M,BC_D,ADITYA COLLEGE OF ENGINEERING - EEE
129624,M,ST,ADITYA COLLEGE OF ENGINEERING - EEE
133585,M,SC,ADITYA COLLEGE OF ENGINEERING - EEE
134971,M,BC_B,ADITYA COLLEGE OF ENGINEERING - EEE
135072,M,OC,ADITYA COLLEGE OF ENGINEERING - INF
140605,F,BC_B,ADITYA COLLEGE OF ENGINEERING - CSM
142111,F,BC_E,ADITYA COLLEGE OF ENGINEERING - CSM
142380,F,ST,ADITYA COLLEGE OF ENGINEERING - CSM
143587,M,BC_B,ADITYA COLLEGE OF ENGINEERING - INF
145174,M,BC_E,ADITYA COLLEGE OF ENGINEERING - INF
145691,M,BC_D,ADITYA COLLEGE OF ENGINEERING - INF
145722,M,ST,ADITYA COLLEGE OF ENGINEERING - INF
145909,M,SC,ADITYA COLLEGE OF ENGINEERING - INF
146254,M,BC_A,ADITYA COLLEGE OF ENGINEERING - INF
147467,F,OC,ADITYA COLLEGE OF ENGINEERING - CSM
147504,F,BC_D,ADITYA COLLEGE OF ENGINEERING - CSM
147759,M,BC_B,ADITYA COLLEGE OF ENGINEERING - MEC
147927,M,ST,ADITYA COLLEGE OF ENGINEERING - MEC
148846,M,BC_D,ADITYA COLLEGE OF ENGINEERING - MEC
149548,M,OC,ADITYA COLLEGE OF ENGINEERING - MEC
151498,F,SC,ADITYA COLLEGE OF ENGINEERING - CSM
151684,M,SC,ADITYA COLLEGE OF ENGINEERING - MEC
21601,F,BC_D,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CIV
21702,F,OC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CIV
27341,F,BC_E,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSD
30161,F,BC_A,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSD
32187,F,BC_D,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSD
33345,F,BC_B,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSD
33457,F,OC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSD
34812,M,BC_D,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSM
49457,F,BC_C,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
52233,M,BC_D,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - ECE
61212,M,BC_E,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - ECE
62191,M,BC_B,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - ECE
62351,M,SC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - ECE
62904,M,OC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - ECE
63482,F,BC_B,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
63513,M,BC_A,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - ECE
66854,F,ST,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
71552,M,BC_D,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - EEE
72446,M,BC_A,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - EEE
74740,M,BC_B,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - EEE
75618,M,OC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - EEE
76543,M,BC_E,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - EEE
76758,F,BC_E,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
76993,M,SC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - EEE
79346,F,OC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
80061,F,BC_D,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
81011,F,BC_A,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
81337,F,SC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSE
88905,M,BC_E,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - INF
89689,F,BC_B,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSM
93558,F,BC_E,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSM
115009,F,OC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSM
117773,M,BC_B,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - INF
